time,P_0,P_1,P_2,P_3,sound_speed
0.0,,,,,341.11
0.004,,,,,341.11
0.008,,,,,341.11
0.012,,,,,341.11
0.016,,,,,341.11
0.02,,,,,341.11
0.024,,,,,341.11
0.028,,,,,341.11
0.032,,,,,341.11
0.036,,,,,341.11
0.04,,,,,341.11
0.044,,,,,341.11
0.048,,,,,341.11
0.052,,,,,341.11
0.056,,,,,341.11
0.06,,,,,341.11
0.064,,,,,341.11
0.068,,,,,341.11
0.072,,,,,341.11
0.076,,,,,341.11
0.08,,,,,341.11
0.084,,,,,341.11
0.088,,,,,341.11
0.092,,,,,341.11
0.096,,,,,341.11
0.1,,,,,341.11
0.104,,,,,341.11
0.108,,,,,341.11
0.112,,,,,341.11
0.116,,,,,341.11
0.12,,,,,341.11
0.124,,,,,341.11
0.128,,,,,341.11
0.132,,,,,341.11
0.136,,,,,341.11
0.14,,,,,341.11
0.144,,,,,341.11
0.148,,,,,341.11
0.152,,,,,341.11
0.156,,,,,341.11
0.16,,,,,341.11
0.164,,,,,341.11
0.168,,,,,341.11
0.172,,,,,341.11
0.176,,,,,341.11
0.18,,,,,341.11
0.184,,,,,341.11
0.188,,,,,341.11
0.192,,,,,341.11
0.196,,,,,341.11
0.2,,,,,341.11
0.204,,,,,341.11
0.208,,,,,341.11
0.212,,,,,341.11
0.216,,,,,341.11
0.22,,,,,341.11
0.224,,,,,341.11
0.228,,,,,341.11
0.232,,,,,341.11
0.236,,,,,341.11
0.24,,,,,341.11
0.244,,,,,341.11
0.248,,,,,341.11
0.252,,,,,341.11
0.256,,,,,341.11
0.26,,,,,341.11
0.264,,,,,341.11
0.268,,,,,341.11
0.272,,,,,341.11
0.276,,,,,341.11
0.28,,,,,341.11
0.284,,,,,341.11
0.288,,,,,341.11
0.292,,,,,341.11
0.296,,,,,341.11
0.3,,,,,341.11
0.304,,,,,341.11
0.308,,,,,341.11
0.312,,,,,341.11
0.316,,,,,341.11
0.32,,,,,341.11
0.324,,,,,341.11
0.328,,,,,341.11
0.332,,,,,341.11
0.336,,,,,341.11
0.34,,,,,341.11
0.344,,,,,341.11
0.348,,,,,341.11
0.352,,,,,341.11
0.356,,,,,341.11
0.36,,,,,341.11
0.364,,,,,341.11
0.368,,,,,341.11
0.372,,,,,341.11
